Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,$333.80 ,4,Mixed,5,5,2,None,Somewhat Sensitive,1,7,None,Tablet,Credit Card,03-01-2024,TRUE,FALSE,Need-based,No Preference,2
29-392-9296,49,Male,High,Married,High School,High,Food & Beverages,$222.22 ,11,In-Store,3,1,2,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,TRUE,FALSE,Wants-based,Standard,6
84-649-5117,24,Female,Middle,Single,Master's,High,Office Supplies,$426.22 ,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,TRUE,TRUE,Impulsive,No Preference,3
48-980-6078,29,Female,Middle,Single,Master's,Middle,Home Appliances,$101.31 ,6,Mixed,3,1,1,High,Somewhat Sensitive,0,1,None,Smartphone,Other,10-04-2024,TRUE,TRUE,Need-based,Express,10
91-170-9072,33,Female,Middle,Widowed,High School,Middle,Furniture,$211.70 ,6,Mixed,3,4,0,Medium,Not Sensitive,2,10,None,Smartphone,Debit Card,1/30/2024,FALSE,FALSE,Wants-based,No Preference,4
82-561-4233,45,Male,Middle,Married,Master's,High,Office Supplies,$487.95 ,8,Mixed,3,3,0,High,Not Sensitive,2,3,None,Tablet,Debit Card,3/19/2024,FALSE,FALSE,Planned,No Preference,7
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Furniture,$486.40 ,12,Online,2,5,1,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,TRUE,FALSE,Need-based,Express,13
88-661-4689,39,Male,Middle,Single,High School,Middle,Books,$218.06 ,6,Online,5,4,1,Low,Somewhat Sensitive,2,9,None,Desktop,Credit Card,3/17/2024,FALSE,TRUE,Impulsive,No Preference,13
37-065-3182,24,Female,High,Divorced,Master's,Middle,Office Supplies,$201.96 ,8,In-Store,3,5,0,Low,Very Sensitive,1,2,High,Desktop,Cash,06-10-2024,FALSE,FALSE,Need-based,Standard,7
84-894-9222,25,Bigender,High,Married,Bachelor's,High,Sports & Outdoors,$418.83 ,7,Online,2,5,1,None,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,10-07-2024,TRUE,FALSE,Need-based,No Preference,13
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Mobile Accessories,$389.70 ,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,07-02-2024,TRUE,FALSE,Planned,Express,12
78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Sports & Outdoors,$238.93 ,5,Online,4,3,1,Medium,Very Sensitive,0,10,High,Tablet,Cash,12/27/2024,TRUE,FALSE,Planned,No Preference,1
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Luxury Goods,$61.22 ,7,In-Store,5,2,2,Low,Very Sensitive,1,7,High,Desktop,Debit Card,08-05-2024,TRUE,TRUE,Need-based,No Preference,5
80-684-5072,32,Male,High,Married,High School,Middle,Animal Feed,$79.81 ,4,Mixed,5,5,0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,FALSE,TRUE,Wants-based,Standard,14
23-302-7502,30,Female,High,Widowed,High School,High,Health Care,$58.51 ,2,Online,4,4,0.5,None,Not Sensitive,0,4,Medium,Desktop,PayPal,12/14/2024,TRUE,TRUE,Planned,No Preference,14
90-069-8934,40,Male,High,Divorced,Master's,High,Hotels,$109.29 ,3,Online,3,4,0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,08-11-2024,FALSE,TRUE,Wants-based,Express,11
45-073-7243,37,Male,High,Single,Bachelor's,High,Furniture,$356.45 ,6,Mixed,5,5,2,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,FALSE,TRUE,Planned,Standard,8
89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Mobile Accessories,$236.99 ,10,Mixed,2,4,0,High,Very Sensitive,0,8,None,Tablet,PayPal,12-09-2024,TRUE,TRUE,Impulsive,No Preference,13
00-477-9449,36,Male,Middle,Widowed,Bachelor's,High,Packages),$454.39 ,10,In-Store,2,4,2,Medium,Not Sensitive,0,3,None,Desktop,Other,7/23/2024,FALSE,TRUE,Impulsive,Standard,3
67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Electronics,$490.75 ,10,In-Store,2,4,1,None,Very Sensitive,1,4,Low,Smartphone,Debit Card,07-08-2024,FALSE,FALSE,Wants-based,Standard,13
85-691-4293,21,Female,Middle,Widowed,High School,Middle,Software & Apps,$463.07 ,7,Mixed,4,2,0,None,Very Sensitive,1,2,Medium,Smartphone,PayPal,7/23/2024,TRUE,FALSE,Wants-based,No Preference,11
